question,answer,category,keywords,location,price_range,source,verified,date_added
What is the price of Berger Bright Aluminum in Nigeria?,"Berger Bright Aluminum costs approximately ₦30,000. Anti-rust aluminum paint for iron pipes",materials,berger bright aluminum,Nigeria,"₦30,000",Market Data,Yes,2024-10-14
What is the price of Hikvision Ds-k3gl606wx-wb Sliding Gate Opener in Nigeria?,"Hikvision Ds-k3gl606wx-wb Sliding Gate Opener costs approximately ₦449,400. Listed on Jiji.ng.",gates,hikvision ds-k3gl606wx-wb sliding gate opener,"Kado, Nigeria","₦449,400",Jiji.ng,Yes,2026-03-22
What is the price of Steel Gate in Nigeria?,"Steel Gate costs approximately ₦900,000. Listed on Jiji.ng.",gates,steel gate,"Ikpoba Okha, Nigeria","₦900,000",Jiji.ng,Yes,2026-03-22
What is the price of Centurion Nova Gate Remote Transmitter- 2 Buttons in Nigeria?,"Centurion Nova Gate Remote Transmitter- 2 Buttons costs approximately ₦17,500. Listed on Jiji.ng.",gates,centurion nova gate remote transmitter- 2 buttons,"Wuse Ii, Nigeria","₦17,500",Jiji.ng,Yes,2026-03-22
"What is the price of Smooth, Smart, And Reliable — Centurion D3 For Lightweight Gates in Nigeria?","Smooth, Smart, And Reliable — Centurion D3 For Lightweight Gates costs approximately ₦700,000. Listed on Jiji.ng.",gates,"smooth, smart, and reliable  centurion d3 for lightweight gates","Ikeja, Nigeria","₦700,000",Jiji.ng,Yes,2026-03-22
What is the price of Laser Cut Security Steel Gate in Nigeria?,"Laser Cut Security Steel Gate costs approximately ₦900,000. Listed on Jiji.ng.",gates,laser cut security steel gate,"Obio Akpor, Nigeria","₦900,000",Jiji.ng,Yes,2026-03-22
What is the price of Security Iron Gate in Nigeria?,"Security Iron Gate costs approximately ₦670,000. Listed on Jiji.ng.",gates,security iron gate,"Ikorodu, Nigeria","₦670,000",Jiji.ng,Yes,2026-03-22
What is the price of Checker Plate Swing Gate in Nigeria?,"Checker Plate Swing Gate costs approximately ₦2,200,000. Listed on Jiji.ng.",gates,checker plate swing gate,"Lagos Island West, Nigeria","₦2,200,000",Jiji.ng,Yes,2026-03-22
What is the price of Design Gate in Nigeria?,"Design Gate costs approximately ₦800,000. Listed on Jiji.ng.",gates,design gate,"Jabi, Nigeria","₦800,000",Jiji.ng,Yes,2026-03-22
What is the price of Centurion D5 Evo Power Supply Charger in Nigeria?,"Centurion D5 Evo Power Supply Charger costs approximately ₦90,000. Listed on Jiji.ng.",gates,centurion d5 evo power supply charger,"Wuse Ii, Nigeria","₦90,000",Jiji.ng,Yes,2026-03-22
What is the price of Rolling Sliding Beautiful Giant Gate in Nigeria?,"Rolling Sliding Beautiful Giant Gate costs approximately ₦700,000. Listed on Jiji.ng.",gates,rolling sliding beautiful giant gate,"Ikoyi Obalende, Nigeria","₦700,000",Jiji.ng,Yes,2026-03-22
What is the price of Best Royal Kings Gate in Nigeria?,"Best Royal Kings Gate costs approximately ₦2,200,000. Listed on Jiji.ng.",gates,best royal kings gate,"Nnewi, Nigeria","₦2,200,000",Jiji.ng,Yes,2026-03-22
What is the price of Crystal Edge Design Gate in Nigeria?,"Crystal Edge Design Gate costs approximately ₦800,000. Listed on Jiji.ng.",gates,crystal edge design gate,"Ajah, Nigeria","₦800,000",Jiji.ng,Yes,2026-03-22
What is the price of 4500x2400 Iron Gates in Nigeria?,"4500x2400 Iron Gates costs approximately ₦500,000. Listed on Jiji.ng.",gates,4500x2400 iron gates,"Dei Dei, Nigeria","₦500,000",Jiji.ng,Yes,2026-03-22
What is the price of Centurion D5 Evo Smart Sliding Gate Machine in Nigeria?,"Centurion D5 Evo Smart Sliding Gate Machine costs approximately ₦750,000. Listed on Jiji.ng.",gates,centurion d5 evo smart sliding gate machine,"Wuse Ii, Nigeria","₦750,000",Jiji.ng,Yes,2026-03-22
What is the price of Rolling Gate Design in Nigeria?,"Rolling Gate Design costs approximately ₦3,500,000. Listed on Jiji.ng.",gates,rolling gate design,"Ayobo Ipaja, Nigeria","₦3,500,000",Jiji.ng,Yes,2026-03-22
What is the price of Latest Design Rolling Gate in Nigeria?,"Latest Design Rolling Gate costs approximately ₦950,000. Listed on Jiji.ng.",gates,latest design rolling gate,"Nnewi, Nigeria","₦950,000",Jiji.ng,Yes,2026-03-22
What is the price of Metal Gates in Nigeria?,"Metal Gates costs approximately ₦300,000. Listed on Jiji.ng.",gates,metal gates,"Ajah, Nigeria","₦300,000",Jiji.ng,Yes,2026-03-22
What is the price of Centurion D6 Smart Sliding Gate Machine With Remote Control in Nigeria?,"Centurion D6 Smart Sliding Gate Machine With Remote Control costs approximately ₦880,000. Listed on Jiji.ng.",gates,centurion d6 smart sliding gate machine with remote control,"Wuse Ii, Nigeria","₦880,000",Jiji.ng,Yes,2026-03-22
What is the price of Gates(Cherkered Plate) in Nigeria?,"Gates(Cherkered Plate) costs approximately ₦500,000. Listed on Jiji.ng.",gates,gates(cherkered plate),"Alimosho, Nigeria","₦500,000",Jiji.ng,Yes,2026-03-22
What is the price of Standard Gate in Nigeria?,"Standard Gate costs approximately ₦1,100,000. Listed on Jiji.ng.",gates,standard gate,"Alimosho, Nigeria","₦1,100,000",Jiji.ng,Yes,2026-03-22
What is the price of Checker Plate Standard Gate in Nigeria?,"Checker Plate Standard Gate costs approximately ₦1,000,000. Listed on Jiji.ng.",gates,checker plate standard gate,"Alimosho, Nigeria","₦1,000,000",Jiji.ng,Yes,2026-03-22
What is the price of Remote Gate Machine in Akure in Nigeria?,"Remote Gate Machine in Akure costs approximately ₦900,000. Listed on Jiji.ng.",gates,remote gate machine in akure,"Akure South, Nigeria","₦900,000",Jiji.ng,Yes,2026-03-22
What is the price of Automatic Sliding Gate Installation – Professional Service in Nigeria?,"Automatic Sliding Gate Installation – Professional Service costs approximately ₦850,000. Listed on Jiji.ng.",gates,automatic sliding gate installation  professional service,"Ajah, Nigeria","₦850,000",Jiji.ng,Yes,2026-03-22
What is the price of Stainless Steel Laser Cut Security Gate in Nigeria?,"Stainless Steel Laser Cut Security Gate costs approximately ₦1,150,000. Listed on Jiji.ng.",gates,stainless steel laser cut security gate,"Port Harcourt, Nigeria","₦1,150,000",Jiji.ng,Yes,2026-03-22
